"","area","I","Ie","Is","Ise","W","We","Ws","Wse","rich","endem","jtopol","jtip"
"281","Arroyo Mormon, 10 millas sur de Lago Warm ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"282","Arroyo Myrtle",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"283","Arroyo Niagara",4,1,0,0,6.785,1.696,0.001,0,4,0,0,0
"284","Arroyo Panther, 10 millas norte de Arroyo Cabin",10,10,0.001,0.001,1.636,1.636,0,0,1,0,0,0
"285","Arroyo Parker ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"286","Arroyo Perry, Montaña Cascade ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"287","Arroyo Piceance, Rancho Pradera",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"288","Arroyo Porquerizos, Toril",1,1,0,0,2.571,2.571,0,0.001,1,0,0,0
"289","Arroyo Rock",2,1,0,0,3.021,1.51,0.001,0,2,0,0,0
"290","Arroyo Rock, 44 millas W de la via estatal 9",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"291","Arroyo Rough ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"292","Arroyo Rowe ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"293","Arroyo Saddle, 6 millas Oeste de Riggins",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"294","Arroyo Sucker, 8 millass sur de Adel",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"295","Arroyo Swauk cerca de Liberty",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"296","Arroyo Trout, Montañas Blue",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"297","Arroyo Willow ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"298","Astur, Cangas de Tineo",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"299","Atarjea ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"300","Atecuaro ",3,1.5,0,0,2.486,1.243,0,0,2,0,0,0
"301","Autovia SE - 162 al sur de Alanis",1,1,0,0,2.571,2.571,0,0.001,1,0,0,0
"302","Aylulaya, arroyo mas alla de Siete Vueltas, entre Camata y Cuibaja",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"303","Ayora",1,1,0,0,2.571,2.571,0,0.001,1,0,0,0
"304","Aztaparreta",6,3,0.001,0,4.821,2.411,0.001,0.001,2,0,0,0
"305","Badenas",12,1.5,0.001,0,17.952,2.244,0.003,0.001,8,0,0,0
"306","Bahia Chasky",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"307","Bahia Marla",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"308","Bahia Tres Anclas",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"309","Bahia Vestom",13,3.25,0.001,0,9.779,2.445,0.002,0.001,4,0,0,0
"310","Bajo Rodriguez Coope- Zamora, Quebrada Pavas",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"311","Baker, 8 millas sur de Baker",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"312","Balazote Albacete",2,1,0,0,4.5,2.25,0.001,0.001,2,0,0,0
"313","Balsa del Aserradero, Zuñiga",1,1,0,0,2.571,2.571,0,0.001,1,0,0,0
"314","Banco Babcock ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"315","Baños de Agua Santa",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"316","Bardenas Reales, Tres Hermanos, campos de cebada",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"317","Bargas, Guadarrama",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"318","Barranca del Agua",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"319","Barranco de la Torrentera, La Cerradura",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"320","Barranco de Peñas Corvillas, Este de Quintanar de la Sierra",18,3.6,0.002,0,11.708,2.342,0.002,0.001,5,0,0,0
"321","Barranco del Avenque, Portman, Cartagena Murcia",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"322","Barranco del Duengo, Oeste de Boveda",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"323","Barranco del Estanyets",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"324","Barranco del Port del Rus ",1,1,0,0,2,2,0,0,1,0,0,0
"325","Barranco Slim Jim",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"326","Barrio de la Luz ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"327","Barrio Santa Maria, Ejido Capitan Luis A Vidal Poligono",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"328","Barrios de Luna",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"329","Base de Sierra Mariola",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"330","Bautista Saavedra, Chajaya, unos pocos km a Charazani",2,1,0,0,2.059,1.029,0,0,2,0,0,0
"331","Baztan, Puerto de Belate, Almandoz",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"332","Beaver ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"333","Beberino",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"334","Beit Arye",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"335","Beit Shikma",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"336","Benahavis, Sierra Palmitera, carretera San Pedro-Ronda",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"337","Benarraba, Los Lirios",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"338","Benasque, Hospital de Benasque",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"339","Benigembla",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"340","Berwyn",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"341","Betlerbaach ",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"342","Biescas",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"343","Bigonville",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"344","Billknapp",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"345","Binyamina",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"346","Birecik, Tschiflik",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"347","Bizerte, Utique",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"348","Bocas del Toro, Cerro Echandi ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"349","Bolaños ",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"350","Bonpland",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"351","Bosque Amatsya",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"352","Bosque Artaparreta, Belagua ",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"353","Bosque Cascade, Pantano Cedar",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"354","Bosque de Irati",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"355","Bosque de pinos de Scott, Rio de Scott Jeffrey",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"356","Bosque De Proteccion Pui - Pui",4,2,0,0,2.761,1.381,0,0,2,0,0,0
"357","Bosque Estatal Parque Montanas Blue",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"358","Bosque Experimental HJ Andrews, Montaña Lookout ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"359","Bosque Koblenz ",19,2.375,0.002,0,19.094,2.387,0.003,0.001,8,0,0,0
"360","Bosque Nacional Apache, Montañas Saddle ",4,1,0,0,5.236,1.309,0.001,0,4,0,0,0
"361","Bosque Nacional Arapaho ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"362","Bosque Nacional Bitterroot ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"363","Bosque Nacional Caribou, via 36 noreste de Preston",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"364","Bosque Nacional Carson",2,1,0,0,3.021,1.51,0.001,0,2,0,0,0
"365","Bosque Nacional Clearwater, Lago Heart ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"366","Bosque Nacional Colville, entre Paso Sherman y Pico Columbia ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"367","Bosque Nacional Coronado",4,1.333,0,0,3.686,1.229,0.001,0,3,0,0,0
"368","Bosque Nacional Deerlodge, Pradera Moose ",11,5.5,0.001,0.001,2.836,1.418,0.001,0,2,0,0,0
"369","Bosque Nacional Deschutes, Arroyo Moss",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"370","Bosque Nacional El Yunque ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"371","Bosque Nacional Gila, Montañas Mogollon",2,1,0,0,2.836,1.418,0.001,0,2,0,0,0
"372","Bosque Nacional Klamath ",4,1,0,0,6.785,1.696,0.001,0,4,0,0,0
"373","Bosque Nacional Lassen, 54 millas Este de Gold Run ",3,1,0,0,3.785,1.262,0.001,0,3,0,0,0
"374","Bosque Nacional Lolo, Campamento Harry's Flat ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"375","Bosque Nacional Malheur",13,3.25,0.001,0,5.236,1.309,0.001,0,4,0,0,0
"376","Bosque Nacional Mendocino, Arroyo Thomes ",4,1,0,0,6.785,1.696,0.001,0,4,0,0,0
"377","Bosque Nacional Ochoco",3,1,0,0,4.036,1.345,0.001,0,3,0,0,0
"378","Bosque Nacional Payette, Cañon Wildhorse",3,1,0,0,5.4,1.8,0.001,0,3,0,0,0
"379","Bosque Nacional Plumas, Montañas Bucks",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"380","Bosque Nacional Roosevelt, 8 km Oeste de Nederland ",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"381","Bosque Nacional Saint Joe, 14 millas este de Clarkia",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"382","Bosque Nacional Santa Barbara, Arroyo Burro",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"383","Bosque Nacional Santa Fe National, Montañas Jemez ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"384","Bosque Nacional Shasta-Trinity, Lago Trinity",7,1,0.001,0,12.185,1.741,0.002,0,7,0,0,0
"385","Bosque Nacional Siskiyou, Arroyo Alta Yale, ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"386","Bosque Nacional Siskiyou, Rio Rogue",2,1,0,0,2.4,1.2,0,0,2,0,0,0
"387","Bosque Nacional Stanislaus, Lago Highland",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"388","Bosque Nacional Targhee",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"389","Bosque Nacional Teton",2,1,0,0,3.021,1.51,0.001,0,2,0,0,0
"390","Bosque Nacional Turkey, 18 millas W de Paso Shrine ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"391","Bosque Nacional Uinta, Cañon Fork ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"392","Bosque Nacional Umatilla",2,1,0,0,2.4,1.2,0,0,2,0,0,0
"393","Bosque Nacional Wallowa-Whitman, Lago Lee ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"394","Bosque Nacional Wenatchee, Montaña Cascade, Rio Rex",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"395","Bosque Nacional Willamette, Montaña Echo ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"396","Bosque Natural Gunnison",3,1,0,0,4.221,1.407,0.001,0,3,0,0,0
"397","Bosque Natural Olympic, cerca del Rio Satsop ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"398","Bosque Natural Rio Rogue ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"399","Bosque Satipo",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"400","Bosque Shipon",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"401","Bourscheid Moulin",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"402","Boveda del Rio Almar",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"403","Bözen",3,1.5,0,0,4.25,2.125,0.001,0.001,2,0,0,0
"404","BR-494, carretera junto al primer puente sobre el arroyo Jacutinga",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"405","Brandenbourg",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"406","Bregenzerwald",3,1.5,0,0,4.25,2.125,0.001,0.001,2,0,0,0
"407","Budergrabensteig",3,1.5,0,0,4.25,2.125,0.001,0.001,2,0,0,0
"408","Buenache",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"409","Buenavista ",8,8,0.001,0.001,1.385,1.385,0,0,1,0,0,0
"410","Burgdorf",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"411","Burns",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"412","Cabeceras de Quebrada Kakebeta",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"413","Cabo Perpetua",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"414","Cabo Sacratif",3,1,0,0,8.25,2.75,0.001,0.001,3,0,0,0
"415","Cacahoatan ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"416","Cala Tamariua",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"417","Calacali, Ceja Andina",3,1.5,0,0,2.345,1.172,0,0,2,0,0,0
"418","Calacoto, 5 Km hacia Palca, Ovejuyo",4,4,0,0.001,1.8,1.8,0,0,1,0,0,0
"419","Calaveras, Copperpolis, Montaña Table ",2,1,0,0,2.4,1.2,0,0,2,0,0,0
"420","Calavernas ",1,1,0,0,1.5,1.5,0,0,1,0,0,0
"421","Caldas de Nocedo",1,1,0,0,2.571,2.571,0,0.001,1,0,0,0
"422","Camino a Bajo Rodriquez, cerca del Rio Cataratitas",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"423","Camino a Cerro Carlota, 2 km de la carretera a El Tuma",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"424","Camino a Gualpi, Chico y Awa ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"425","Camino a los Bajos del Toro, Finca Margarita Forestales",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"426","Camino a Monte del Duque, Casares",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"427","Camino Alao - Huamboya, alrededor del paso",2,1,0,0,2.118,1.059,0,0,2,0,0,0
"428","Camino de Los Toldos a Lipeo, desvio hacia aguas termales",3,1.5,0,0,2.761,1.381,0,0,2,0,0,0
"429","Camino de tierra que conecta el Pousada Fazenda Boa Esperança Baron",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"430","Camino entre Jinotega y Wiwili, Hacienda La Sorpresa, al noreste de Ciudad Jinotega",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"431","Camino que conduce a Los Playones Puente Mulas, Planta Electrica Electriona",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"432","Camino Sevilla de Oro - Mendez, Paramo de Castillo",14,2.8,0.001,0,5.568,1.114,0.001,0,5,0,0,0
"433","Camino Tambillo-Tahuacocha",8,8,0.001,0.001,1.2,1.2,0,0,1,0,0,0
"434","Camino vecinal de Son Cos a Santa Maria",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"435","Camino Zelezarjev",1,1,0,0,2,2,0,0,1,0,0,0
"436","Campamento Black Fox",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"437","Campamento cerca a confluencia de Arroyo Twin y Rio Dolores ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"438","Campamento Gore, cerca a Paso Vail ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"439","Campamento Meseta Uncompahgre ",2,1,0,0,3.021,1.51,0.001,0,2,0,0,0
"440","Campamento Rilea, suroeste de Warrenton",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"441","Campamento Sherman",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"442","Campamento Solomon, arroyo Richardson ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"443","Campamento Sopalmo",1,1,0,0,2.571,2.571,0,0.001,1,0,0,0
"444","Campanero ",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"445","Campichuelo, Cofrentes",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"446","Camporredondo de Alba",4,4,0,0.001,2.571,2.571,0,0.001,1,0,0,0
"447","Canal de Bardenas, Este de Erla",3,1.5,0,0,4.821,2.411,0.001,0.001,2,0,0,0
"448","Canal de San Adrian",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"449","Canech ",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"450","Cangas de Onis, Macizo Occidental de los Picos de Europa, la Verdilluenga",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"451","Canton Gonzalo Pizarro, 22 km al SE del pueblo El Reventador",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"452","Canton Tena, San Francisco de Asis, km 15 via a Pablo ",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"453","Cañada del Agua Colorada ",9,4.5,0.001,0.001,2.769,1.385,0,0,2,0,0,0
"454","Cañon Blacktail ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"455","Cañon Days ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"456","Cañon del Arroyo Freezeout",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"457","Cañon del Rio Marañon, 5 km de la carretera a Celedin",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"458","Cañon del Rio Snake, 100 millas de Lewiston",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"459","Cañon del Rio Snake, Oeste de Wawawai",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"460","Cañon Ephriam ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"461","Cañon Frijoles ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"462","Cañon Granite ",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"463","Cañon Green Monster, 42 millas WNW Lago Fish ",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"464","Cañon Imnaha ",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"465","Cañon Lamoille, Montañas Ruby ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"466","Cañon Long, Arroyo Twelvemile",2,1,0,0,2.585,1.292,0,0,2,0,0,0
"467","Cañon Luz, 1 milla oeste de Bailey ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"468","Cañon Misnk, 5 millas sur de Pocatello",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"469","Cañon Montañas Pole",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"470","Cañon Payson, Lagos Pasyon ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"471","Cañon Rio Rogue, 15 millas sur de Illahe",2,1,0,0,4.2,2.1,0.001,0.001,2,0,0,0
"472","Cañon Santaquin, 12 km de Santaquin",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"473","Cañon Tule, 15 km noroeste de la confluencia con Arroyo Sycamore",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"474","Cañon Water ",2,1,0,0,2.4,1.2,0,0,2,0,0,0
"475","Capacuaro ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"476","Caparreta",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"477","Caparroso",2,1,0,0,4.821,2.411,0.001,0.001,2,0,0,0
"478","Carbajal de la Legua",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"479","Carcabuey, Cañada Hornillos",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"480","Cariamanga",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"481","Carihuahuasco, arriba de Mashahuasca",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"482","Carintia, valle Alpes Lavant ",189,94.5,0.018,0.012,8,4,0.001,0.001,2,0,0,0
"483","Carretera 85 entre Tamazunchale y Jacala, 37 km SO de Tamazunchale ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"484","Carretera a Comasagua",2,1,0,0,2.25,1.125,0,0,2,0,0,0
"485","Carretera a Jinotega, entrada a Los Lipes, 53 km de Matagalpa",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"486","Carretera a Shoestring",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"487","Carretera Ambato - Guaranda, 2 km al oeste de Cruz Arenal ",5,2.5,0,0,2.259,1.129,0,0,2,0,0,0
"488","Carretera Anserma nuevo-El Cairo, 365 km  este de El Cairo",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"489","Carretera Azogues - Pindilig, km 8-10 de Azogues",8,8,0.001,0.001,1.2,1.2,0,0,1,0,0,0
"490","Carretera Babahoyo - Guaranda, Balzapamba",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"491","Carretera Baeza - Tena, km 61 de Baeza ",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"492","Carretera Baños-Nero, km 91 ",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"493","Carretera Calacali-Nono, 2-4 km de Calacali-Nanegalito",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"494","Carretera Cañar - El Triunfo, 10 km NNW de Cañar ",8,8,0.001,0.001,1.2,1.2,0,0,1,0,0,0
"495","Carretera comarcal de Sevilla 3310, Km 51",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"496","Carretera Cuenca - Giron, km 4 SW de Portete de Tarqui",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"497","Carretera Cuenca - Loja, 68 km S de Cuenca",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"498","Carretera Cuenca - Loja, km 13 S de cumbe",2,2,0,0,1.125,1.125,0,0,1,0,0,0
"499","Carretera Cuenca-Las Cajas, 14-W 16 km de Cuenca",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"500","Carretera de Arguedas a Tudela",2,2,0,0,2.25,2.25,0,0.001,1,0,0,0
"501","Carretera de Monteverde a Lagarto ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"502","Carretera de Motozintla a Niquivil, 7 km de Motozintla, Barrio Allende",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"503","Carretera de Paso Canoas a Cañas Gordas, 9 milas de Paso Canoas",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"504","Carretera de Riobamba a Juan de Velasco Pango",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"505","Carretera entre Cohuasqui y Merced de Buenos Aires",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"506","Carretera entre Navarro al El Muñeco, Rio Navarro",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"507","Carretera General Plaza Limon - Gualaceo, km 51-54 de Limon",5,1.25,0,0,4.368,1.092,0.001,0,4,0,0,0
"508","Carretera Gualaceo - Culebrillas ",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"509","Carretera Gualaceo-Limon, 21 km Este de Gualaceo, Paramos de Culebrillas",3,1.5,0,0,2.184,1.092,0,0,2,0,0,0
"510","Carretera Gualea - La Armenia, 3 km de La Armenia ",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"511","Carretera Guaranda - Catarama, arriba de Santa Fe",8,8,0.001,0.001,1.2,1.2,0,0,1,0,0,0
"512","Carretera Guayacan, 131 km N de La Mana y Montenuevo, Escuela Quindigua",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"513","Carretera Humboldt, 6 millas Este de Chico",3,1,0,0,5.4,1.8,0.001,0,3,0,0,0
"514","Carretera Ingapirca - El Corazon, km 13  ",2,2,0,0,1.125,1.125,0,0,1,0,0,0
"515","Carretera Jaji-La Azulita, 5 km NO de Jaji",1,1,0,0,1.5,1.5,0,0,1,0,0,0
"516","carretera Jimbura - Zumba ",2,1,0,0,2.118,1.059,0,0,2,0,0,0
"517","Carretera Julio Andrade - Palestina",3,1.5,0,0,2.695,1.348,0,0,2,0,0,0
"518","Carretera Las Cruses - El Toro - Hernandez, Sureste de Hernandez ",2,1,0,0,2.51,1.255,0,0,2,0,0,0
"519","Carretera Latacunga - Quevedo, 12 km arriba de Pilalo",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"520","Carretera Latacunga - Quevedo, 3-5 km Pilalo ",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"521","Carretera Loma del Oro, Fierro Urcu, km 13",2,1,0,0,2.118,1.059,0,0,2,0,0,0
"522","Carretera Mersin Antalya Yolu al Noreste de Bozdogan",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
"523","Carretera N - 525  cerca a Santa Marta de Tera",3,1.5,0,0,4.5,2.25,0.001,0.001,2,0,0,0
"524","Carretera Nono - Nanegalito, 5 km de Sierra",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"525","Carretera Olmedo - Laguna San Marcos",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"526","Carretera Otavalo - Selva Alegre, km 57",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"527","Carretera Pilalo - Zumbagua, 15 km arriba de Pilalo",3,1.5,0,0,2.184,1.092,0,0,2,0,0,0
"528","Carretera Riobamba - Guaranda ",2,1,0,0,2.118,1.059,0,0,2,0,0,0
"529","Carretera Riobamba- Licto, quebrada Supaycahuan",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"530","Carretera Rogerson-Oakley, Arroyo Shoshone",2,1,0,0,2.585,1.292,0,0,2,0,0,0
"531","Carretera San Antonio - Calacali - Nanegal, 20 km oeste de Calacali",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"532","Carretera Santo Domingo - Chiriboga, SW de Chiriboga",4,1.333,0,0,3.82,1.273,0.001,0,3,0,0,0
"533","Carretera Selva Alegre-Manu, 4 km de Selva Alegre",8,8,0.001,0.001,1.2,1.2,0,0,1,0,0,0
"534","Carretera Sigsig - Gima",11,2.75,0.001,0,4.376,1.094,0.001,0,4,0,0,0
"535","Carretera Sisgsig-Gualaquiza km 28, Paramos de Matanga",13,2.6,0.001,0,6.454,1.291,0.001,0,5,0,0,0
"536","Carretera Tocache Nuevo-Juanjui, 89 km de Tocache Nuevo",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"537","Carretera Tulcan - El Carmelo",1,1,0,0,1.5,1.5,0,0,1,0,0,0
"538","Carretera Tulcan - Maldonado, 38 km de la depresion en Tulcan Boggy",7,1.167,0.001,0,6.872,1.145,0.001,0,6,0,0,0
"539","Carreterra vieja Loja - Catamayo, km 10",34,17,0.003,0.002,3.273,1.636,0.001,0,2,0,0,0
"540","Carrizo ",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"541","Carrizo-Santo Domingo",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"542","Cartagena, Punta de la Azohia",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"543","Cartama, Las Viñas",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"544","Casa de Buen Retiro, Ciudad Real",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"545","Casa de la Ortigosa Albacete",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"546","Casarabonela, La Robla",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"547","Casares, Base de Sierra Crestellina",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"548","Casares, Venta La Laguna",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"549","Cascada Locks",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"550","Caso, Lago Ubales",6,3,0.001,0,4.821,2.411,0.001,0.001,2,0,0,0
"551","Castanesa Ribagorza",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"552","Castelo",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"553","Castillo de Viuelas",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"554","Cauce Rashash",2,2,0,0,2.571,2.571,0,0.001,1,0,0,0
